user_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
0,4.25,3.25,3.0,3.0,3.0
1,5.0,4.0,4.0,5.0,4.0
2,4.75,3.0,3.5,3.75,4.25
3,4.25,3.0,4.25,4.0,3.75
4,3.5,3.5,1.5,4.5,3.0
5,4.0,4.0,3.75,4.75,2.25
6,4.0,4.25,2.0,3.75,4.75
7,4.75,4.25,3.5,4.5,4.0
8,3.5,3.75,3.5,4.0,3.25
9,3.0,3.25,2.5,4.0,3.5
10,4.0,4.5,3.0,4.75,3.5
11,4.0,3.25,4.0,3.75,4.0
12,3.25,3.5,2.25,3.5,4.0
13,4.0,4.25,5.0,4.75,3.25
14,4.75,4.5,1.75,5.0,4.75
15,4.5,3.75,4.0,4.25,4.25
16,5.0,4.0,2.25,5.0,3.25
17,3.75,3.5,1.75,4.0,4.5
18,4.5,3.25,2.0,3.5,4.75
19,4.0,4.25,3.5,4.25,1.75
20,2.0,3.5,1.75,4.0,4.75
21,4.25,3.75,3.5,4.5,2.0
22,3.25,3.5,3.5,4.25,3.5
23,3.5,3.5,3.25,4.0,2.75
24,4.0,3.75,3.5,4.0,3.25
25,3.0,3.25,1.25,4.0,2.75
26,4.5,3.5,4.0,4.5,3.25
27,3.5,3.5,3.25,3.75,3.5
28,4.5,4.0,3.5,4.5,2.25
29,4.0,3.25,2.5,4.0,2.5
30,4.0,4.25,1.75,4.5,4.5
31,3.75,4.25,3.75,4.5,4.0
32,4.75,3.75,2.0,4.0,4.75
33,4.0,3.0,3.25,4.0,3.5
34,4.75,3.75,2.25,4.75,2.75
35,2.5,4.5,2.75,3.75,2.75
36,4.25,4.5,3.25,5.0,2.5
37,4.5,4.25,4.75,5.0,1.25
38,4.5,4.0,4.0,4.75,2.25
39,3.5,2.75,3.0,3.5,3.25
40,4.75,4.25,3.25,5.0,3.75
41,5.0,2.75,1.75,5.0,3.5
42,4.5,4.0,2.75,4.5,3.0
43,5.0,4.25,4.5,5.0,3.75
44,3.0,3.0,3.0,3.0,3.0
45,3.75,4.0,3.75,4.0,3.0
46,4.5,4.25,4.0,4.5,4.75
47,3.75,3.5,2.0,4.75,3.75
48,4.25,3.5,4.25,4.0,3.5
49,4.5,4.5,3.0,4.0,3.25
50,3.25,2.75,2.25,2.0,3.5
51,5.0,2.5,4.0,4.0,3.75
52,3.5,3.5,2.75,3.25,1.75
53,4.25,3.5,2.0,4.25,3.5
54,2.75,3.0,2.0,3.0,3.5
55,4.5,4.5,3.5,4.5,2.5
56,5.0,4.75,4.25,5.0,4.75
57,1.5,2.5,2.25,3.5,3.75
58,3.25,3.5,3.0,4.5,3.25
59,4.5,3.25,4.5,4.0,3.75
60,3.75,3.75,3.0,4.0,2.0
61,4.0,4.0,3.0,4.5,1.75
61,4.0,4.0,3.0,4.5,1.75
62,4.75,4.25,3.0,4.5,3.25
63,2.75,2.5,1.25,4.0,4.0
64,4.5,3.75,3.75,5.0,3.75
65,5.0,3.5,3.0,4.75,3.25
66,3.5,3.25,1.5,3.75,2.75
67,4.25,3.5,2.0,4.5,2.5
67,4.25,3.5,2.0,4.5,2.5
68,4.0,4.0,4.25,3.75,1.25
69,4.5,3.75,4.5,4.0,2.5
70,4.25,4.25,2.5,5.0,3.75
71,3.75,3.5,3.5,4.25,3.5
72,3.5,4.0,2.0,3.5,3.0
73,3.25,4.0,4.0,4.25,2.5
74,4.75,3.5,1.25,4.5,2.5
75,4.0,3.75,3.5,4.0,2.75
76,5.0,4.0,4.0,5.0,4.0
77,3.5,3.75,2.5,4.5,3.0
78,4.0,2.75,2.25,4.25,4.0
13,2.5,4.75,2.75,4.75,4.0
79,5.0,3.75,1.75,3.25,2.75
80,3.5,5.0,2.5,4.25,4.0
81,4.25,3.25,3.5,3.75,3.5
77,3.5,3.75,2.5,4.5,3.0
82,3.25,4.25,4.5,5.0,3.0
83,5.0,3.25,4.75,5.0,2.75
84,2.0,4.25,3.0,4.25,4.25
85,3.25,3.75,2.75,4.25,3.0
86,3.75,4.75,1.75,4.25,4.0
87,4.5,3.5,3.0,4.75,1.5
88,5.0,3.0,1.75,4.5,3.25
89,5.0,4.0,2.5,4.0,2.5
90,5.0,4.0,2.25,4.5,4.25
91,4.75,4.25,4.5,4.25,3.5
92,4.0,4.5,3.25,4.75,3.25
93,4.75,3.75,4.75,4.0,4.5
94,3.0,3.75,1.5,4.25,3.0
95,3.25,4.0,2.5,5.0,4.0
96,5.0,4.5,1.5,4.75,4.75
97,4.75,5.0,4.0,5.0,2.0
98,3.75,3.75,3.0,4.0,2.75
99,5.0,3.0,1.0,4.75,4.25
100,3.25,3.25,2.5,4.25,3.0
101,3.5,2.75,4.5,4.25,3.0
102,3.0,3.0,1.75,5.0,2.25
103,3.75,4.25,3.5,4.25,3.0
104,3.25,4.0,3.0,4.5,3.75
105,4.0,4.0,4.5,4.25,2.5
106,4.0,3.25,1.75,4.25,4.0
107,4.0,3.5,3.0,4.25,3.0
108,3.75,4.25,3.5,4.25,3.25
109,5.0,4.25,4.25,4.75,4.25
110,2.75,4.5,3.25,5.0,3.0
111,3.75,3.0,1.75,4.0,3.0
112,2.75,2.5,2.25,3.75,2.25
113,3.75,3.75,3.25,4.0,3.5
114,3.75,3.5,4.0,4.25,3.0
115,2.75,3.75,3.75,4.0,4.0
116,5.0,4.0,3.0,3.75,3.5
117,2.5,3.25,4.0,4.25,1.75
118,4.0,4.25,3.25,4.75,2.5
119,4.25,2.75,3.5,4.0,4.25
120,4.0,4.0,3.25,4.25,2.75
121,4.0,4.5,3.25,4.75,3.25
122,2.5,2.75,1.0,4.0,3.75
123,4.5,4.0,2.5,4.75,3.25
124,3.25,4.0,2.0,3.75,4.25
125,4.25,4.0,4.5,5.0,3.0
126,2.5,4.25,4.0,4.75,3.75
127,4.25,4.0,2.5,4.5,2.75
128,3.5,3.5,2.75,3.25,3.75
129,3.75,3.25,2.25,4.0,3.25
130,2.5,3.75,3.25,3.75,2.75
131,4.0,4.25,2.25,4.5,2.75
132,4.0,4.0,3.0,4.0,3.25
133,3.75,5.0,4.25,4.75,4.0
134,2.0,3.0,1.5,5.0,3.75
135,4.5,4.75,5.0,4.5,2.25
136,4.0,3.75,3.25,4.0,4.25
137,4.0,3.75,3.0,4.75,2.25
138,3.25,4.5,3.0,4.25,1.75
138,3.25,4.5,3.0,4.25,1.75
139,4.25,3.75,4.25,4.25,3.5
140,4.5,3.75,3.25,4.5,2.75
141,3.5,3.5,1.25,3.0,4.25
142,4.75,4.75,4.25,5.0,2.5
143,5.0,4.25,2.5,5.0,3.5
144,3.25,3.0,2.0,4.25,4.75
145,4.0,3.5,2.25,2.75,3.5
145,4.0,3.5,2.25,2.75,3.5
144,3.5,4.0,3.5,4.0,2.25
146,3.75,3.25,2.0,4.0,2.5
147,4.0,3.75,3.5,4.0,3.0
148,2.75,3.75,1.5,4.0,4.5
149,4.0,4.5,3.5,5.0,1.75
150,4.75,4.5,4.25,5.0,1.0
151,2.75,4.0,2.25,3.5,3.25
152,4.0,4.0,3.75,4.25,2.0
