item_id,artist,track,base_tags
0,Gotye,Somebody That I Used to Know,pop|rock|electronic|avant-garde
1,Adele,Someone Like You,rhythm and blues|pop|blues|jazz|easy listening
2,Nirvana,Smells Like Teen Spirit,rock
3,Of Monsters and Men,Little Talks,folk|rock|pop|avant-garde
4,Coldplay,Paradise,rock|pop|electronic|easy listening
5,fun.,We Are Young (feat. Janelle Monáe),rock|easy listening
6,Adele,Set Fire to the Rain,rhythm and blues|pop|blues|rock
7,Bon Iver,Skinny Love,folk|avant-garde|rock|electronic|easy listening|pop|rhythm and blues
8,Lana Del Rey,Summertime Sadness,pop|rock|electronic|rhythm and blues|classical|folk
9,Florence + the Machine,Dog Days Are Over,rock|pop|folk|rhythm and blues
10,MGMT,Kids,electronic|pop|rock
11,Nirvana,Come as You Are,rock|pop
12,Coldplay,Viva la Vida,rock|pop|easy listening
13,Kings of Leon,Sex on Fire,rock|pop
14,Daft Punk,Get Lucky (feat. Pharrell Williams),rhythm and blues|electronic|pop|rock
15,Oasis,Wonderwall,rock|pop|easy listening
16,The Lumineers,Ho Hey,folk|rock|pop|country|easy listening
17,Coldplay,The Scientist,rock|pop|easy listening|electronic
18,Pink Floyd,Wish You Were Here,rock|pop|electronic
19,Radiohead,Creep,rock|pop|electronic
20,Radiohead,Karma Police,rock|pop|electronic
21,Florence + the Machine,Shake It Out,rock|pop|rhythm and blues|electronic|classical
22,System of a Down,Chop Suey!,rock|electronic
23,Lorde,Royals,pop|rock|electronic|rhythm and blues
24,Massive Attack,Teardrop,electronic|easy listening|pop|rock
25,Muse,Supermassive Black Hole,rock|pop|electronic
26,The Black Keys,Lonely Boy,blues|rock|pop|rhythm and blues
27,Coldplay,Fix You,rock|pop|easy listening
28,MGMT,Time to Pretend,electronic|rock|pop
29,Led Zeppelin,Stairway to Heaven,rock|blues
30,Arctic Monkeys,Do I Wanna Know?,rock|pop
31,Linkin Park,In the End,rock|hip hop|pop
32,Red Hot Chili Peppers,Californication,rock|rhythm and blues|pop|easy listening
33,Kings of Leon,Use Somebody,rock|pop
34,Arctic Monkeys,R U Mine?,rock|pop|rhythm and blues
35,The White Stripes,Seven Nation Army,rock|blues|pop|avant-garde|rhythm and blues
36,Radiohead,No Surprises,rock|pop|electronic
37,The Smiths,There Is a Light That Never Goes Out,rock|pop|electronic
38,Metallica,Nothing Else Matters,rock
39,Tame Impala,The Less I Know the Better,electronic|pop|rock|rhythm and blues
40,Muse,Uprising,rock|electronic|pop
41,Black Sabbath,Paranoid,rock
42,David Guetta,Titanium (feat. Sia),electronic|pop
43,Linkin Park,Numb,rock|hip hop|pop
44,Coldplay,Yellow,rock|pop|easy listening|rhythm and blues
45,Imagine Dragons,Demons,rock|pop|electronic
46,Nirvana,Lithium,rock
47,Arctic Monkeys,Fluorescent Adolescent,rock|pop
48,Johnny Cash,Hurt,country|folk|rock|blues
49,Pink Floyd,Comfortably Numb,rock|electronic|pop|easy listening
50,The Killers,Somebody Told Me,rock|pop|electronic
51,Lady Gaga,Bad Romance,pop|electronic|rock
52,Red Hot Chili Peppers,Otherside,rock|rhythm and blues|pop
53,Queen,Bohemian Rhapsody,rock|pop|classical
54,The Black Keys,Tighten Up,blues|rock|electronic
55,Foo Fighters,The Pretender,rock|pop
56,Metallica,Enter Sandman,rock|electronic
57,Adele,Rolling in the Deep,rhythm and blues|pop|blues|jazz|rock
58,Imagine Dragons,Radioactive,rock|electronic|pop
59,Foster the People,Pumped Up Kicks,rock|pop|electronic
60,Carly Rae Jepsen,Call Me Maybe,pop|rock
61,Guns N' Roses,Sweet Child o' Mine,rock|pop
62,The Temper Trap,Sweet Disposition,rock|electronic|pop|easy listening
63,Foo Fighters,Everlong,rock|pop
64,Avicii,Wake Me Up,pop|electronic|country|rhythm and blues|folk
65,Muse,Hysteria,rock|electronic|pop
66,Twenty One Pilots,Stressed Out,rock|hip hop|pop
67,Nicki Minaj,Starships,pop|hip hop|electronic|rock|rhythm and blues
68,alt-J,Breezeblocks,rock|folk|ska|electronic|pop
69,Red Hot Chili Peppers,Scar Tissue,rock|rhythm and blues|pop|easy listening
70,Pink Floyd,Time,rock|electronic|pop
71,Bastille,Pompeii,pop|rock|electronic|hip hop
72,System of a Down,Toxicity,rock|electronic
73,The Cranberries,Zombie,rock|pop
74,Metallica,Master of Puppets,rock
75,Pink Floyd,Money,rock|electronic|jazz|blues|pop
76,Taylor Swift,Blank Space,pop|electronic|rock
77,Red Hot Chili Peppers,Under the Bridge,rock|rhythm and blues|pop
78,Avicii,Levels,electronic|pop|rock
79,Daft Punk,Instant Crush (feat. Julian Casablancas),electronic|pop|rock|rhythm and blues
80,Dire Straits,Sultans of Swing,rock|blues|pop|jazz|easy listening
81,a-ha,Take On Me,pop|rock|electronic
82,Amy Winehouse,Back to Black,rhythm and blues|jazz|pop|blues|rock|easy listening
83,Evanescence,Bring Me to Life,rock|pop
84,System of a Down,Lonely Day,rock|electronic
85,M.I.A.,Paper Planes,hip hop|pop|electronic|rock
86,Rage Against the Machine,Killing in the Name,rock|hip hop|rhythm and blues|electronic|pop
87,Tame Impala,Let It Happen,rock|pop|electronic
88,Death Cab for Cutie,I Will Follow You Into The Dark,rock|folk|pop|easy listening|electronic
89,Mark Ronson,Uptown Funk,rhythm and blues|pop|hip hop
90,Paramore,Misery Business,rock|pop|electronic
91,One Direction,What Makes You Beautiful,pop|rock
92,R.E.M.,Losing My Religion,rock|pop|easy listening
93,Daft Punk,One More Time,electronic|pop|rhythm and blues|rock
94,The Killers,When You Were Young,rock|pop
95,Nirvana,Heart-Shaped Box,rock
96,Ed Sheeran,Shape of You,pop|ska|folk|rhythm and blues
97,AC/DC,Highway to Hell,rock|blues
98,AC/DC,Back in Black,rock|blues
99,Nirvana,Rape Me,rock
100,Goo Goo Dolls,Iris,rock|pop|easy listening|electronic
101,Evanescence,My Immortal,rock|pop|electronic
102,Bruno Mars,Locked Out of Heaven,pop|rock|rhythm and blues|hip hop
103,Katy Perry,Roar,pop|rock
104,blink-182,I Miss You,rock|pop
105,Foo Fighters,Best of You,rock
106,Florence + the Machine,Never Let Me Go,rock|pop|rhythm and blues|classical
